userId,username,date,content,tweetId,replyCount,retweetCount,likeCount,inReplyToUser,mentionedUsers,hashtags
2675497916,BKIPMKendari,2023-04-05 08:03:24+00:00,"5/4 Pengawasan lalulintas produk hasil perikanan domestik masuk via Pesawat Batik Air melalui Cargo kedatangan Bandara Haluoleo Kendari. @kkpgoid @bkipm_kkp @amdali_2006 .
#KKPThrive 
#saktiwahyutrenggono 
#EkonomiBiru https://t.co/0zjY52sv57",1.64352E+18,0,0,3,,"['kkpgoid', 'bkipm_kkp', 'amdali_2006']","['KKPThrive', 'saktiwahyutrenggono', 'EkonomiBiru']"
1.53481E+18,bitterplacement,2023-04-05 07:25:04+00:00,@tanyakanrl batik air no other reason than karena ada tv nya + kadang dikasi headphones juga dan ada colokan juga,1.64352E+18,0,0,0,tanyakanrl,['tanyakanrl'],
118646322,Bisniscom,2023-04-05 06:55:02+00:00,Batik Air bakal menyediakan rute penerbangan dari enam kota di Indonesia menuju Korea Selatan mulai Juni 2023 https://t.co/jsLoqXMgsQ,1.64351E+18,0,0,1,,,
1.63855E+18,felislepus,2023-04-05 06:19:05+00:00,"@convomfs batik air, citilink enak sih, tapi batik air dapet makanan sama space buat kaki lebih luas, entah kenapa citilink ak merasa smpit",1.6435E+18,0,0,0,convomfs,['convomfs'],
1.54109E+18,bukansopojarwoo,2023-04-05 06:18:44+00:00,"@tanyakanrl Batik Air, lebih lega dan nyaman",1.6435E+18,0,0,0,tanyakanrl,['tanyakanrl'],
1.63159E+18,gebicaca,2023-04-05 06:18:38+00:00,"@tanyakanrl klo service mending citilink sih, tapi klo harga ya batik air",1.6435E+18,0,0,1,tanyakanrl,['tanyakanrl'],
23343960,kompascom,2023-04-05 04:50:36+00:00,Ingin terbang ke Korea Selatan mulai Juni 2023 bisa menggunakan Batik Air yang berangkat dari enam kota ini. https://t.co/B6vSE57Dwl,1.64348E+18,1,0,3,,,
195234502,j0sun,2023-04-05 04:38:24+00:00,kenapa sih disaat dibutuhkan cs @BatikAirINA @BatikAirID @BatikAir_ID susah banget dihubungi,1.64347E+18,0,0,0,,"['BatikAirINA', 'BatikAirID', 'BatikAir_ID']",
454647489,KompasTravel,2023-04-05 04:08:03+00:00,"Terbang Ke Korea Selatan Naik Batik Air, Bisa dari 6 Kota Ini https://t.co/Beu6BDzlry",1.64347E+18,0,0,0,,,
238091066,InvestorID,2023-04-05 03:14:35+00:00,Batik Air Siap Layani Penerbangan ke Korea https://t.co/tUelX9ynBL,1.64345E+18,0,1,1,,,
18129942,tempodotco,2023-04-05 03:02:59+00:00,"Mulai 23 Juni 2023, Batik Air akan membuka rute penerbangan Indonesia - Korea Selatan. Berapa harga tiket pesawatnya? https://t.co/njQUTdaggg",1.64345E+18,0,0,0,,,
1.23674E+18,medinnsss,2023-04-05 02:08:03+00:00,Tumbenan batikair ke lampung dingin pesawatnya wkkkw,1.64344E+18,0,0,0,,,
18129942,tempodotco,2023-04-05 02:01:35+00:00,Batik Air Lakukan Penerbangan Indonesia - Korea Selatan Mulai 23 Juni 2023 https://t.co/KIUmwWNQ3T #TempoBisnis,1.64343E+18,0,0,1,,,['TempoBisnis']
154102750,Beritasatu,2023-04-04 23:58:30+00:00,Batik Air Buka Rute ke Korea Selatan Pertengahan Tahun Ini https://t.co/2sxXZLN2Ym,1.6434E+18,0,1,3,,,
973161283,idbcpr,2023-04-04 18:03:18+00:00,Batik Air ID 7515 Jakarta To Surabaya Flight Report - https://t.co/X1M62pTN83 https://t.co/oJam1wH6jU,1.64331E+18,0,0,0,,,
8.8539E+17,aircrashdaily,2023-04-04 15:38:47+00:00,#OTD in 2016: Batik Air 7703 &amp; TransNusa ATR 42 [PK-TNJ] crash in Jakarta (Indonesia) https://t.co/dFdAd3ZLoF https://t.co/HRmUxlyT7y,1.64328E+18,1,2,16,,,['OTD']
427169833,febyfeb05,2023-04-04 15:12:31+00:00,"Banyak yang nyuruh pulang ke sumbar, perhitungan waktu nya gak cukup karna liburnya jg gak lama. 
mau gak mau chek in batik air 🙃",1.64327E+18,0,0,1,,,
1.64326E+18,giegiezou48781,2023-04-04 14:17:42+00:00,"@LionAirID saya mau minta tolong, lupa boarding pass naik batik air, perlu untuk spj kantor. Please help!",1.64326E+18,0,0,0,,['LionAirID'],
1.62699E+18,Gohandoko99,2023-04-04 07:18:16+00:00,"Waktu di dalam pesawat ""Batik Air"" ini... posisi pesawat nya sudah mau lepas landas dari bandara Sam Ratulangi, Manado, Sulawesi Utara😊 https://t.co/AKOMIpPpm7",1.64315E+18,0,0,1,,,
1.62699E+18,Gohandoko99,2023-04-04 07:13:55+00:00,"Waktu dari Manado, Sulawesi Utara mau pulang ke Medan, Kualanamu...
Naik pesawat ""Batik Air"" 😎🙏 https://t.co/uPGEhUb9C2",1.64315E+18,0,0,1,,,
7.33181E+17,BKIPMJayapura,2023-04-04 04:51:09+00:00,"04/04 Pemeriksaan terhadap produk perikanan Tuna Loin 777 kg (23 Koli) tuj. Kab. Gowa melalui Bandara Sentani via Batik Air.  
#BKIPM
#KKPGOID
#KKPThrive
#EkonomiBiru
@bkipm_kkp
@harimaryadi
@JunaidiFQIA
@tumpakbenny https://t.co/92aX6CpaWy",1.64311E+18,0,0,3,,"['bkipm_kkp', 'harimaryadi', 'JunaidiFQIA', 'tumpakbenny']","['BKIPM', 'KKPGOID', 'KKPThrive', 'EkonomiBiru']"
7.33181E+17,BKIPMJayapura,2023-04-04 04:49:42+00:00,"03/04 Pemeriksaan kebenaran isi, jenis, jumlah, Lobster Beku 80 Ekor (1 Koli) tuj. Denpasar melalui Bandara Sentani Via Batik Air.   
#BKIPM 
#KKPGOID
#KKPThrive 
#EkonomiBiru
@bkipm_kkp
@harimaryadi
@JunaidiFQIA
@tumpakbenny https://t.co/Ziy3AsgICl",1.64311E+18,0,0,3,,"['bkipm_kkp', 'harimaryadi', 'JunaidiFQIA', 'tumpakbenny']","['BKIPM', 'KKPGOID', 'KKPThrive', 'EkonomiBiru']"
